iter	Passed	Remaining
0	143	143520
1	146	73070
2	148	49409
3	151	37695
4	154	30652
5	156	25898
6	159	22581
7	162	20143
8	165	18187
9	167	16605
10	170	15293
11	173	14247
12	175	13320
13	177	12495
14	179	11813
15	182	11212
16	184	10679
17	187	10205
18	189	9787
19	191	9403
20	194	9047
21	196	8726
22	198	8428
23	200	8155
24	202	7893
25	204	7653
26	205	7417
27	207	7194
28	208	6990
29	210	6806
30	212	6635
31	213	6458
32	214	6299
33	216	6147
34	218	6012
35	219	5876
36	221	5754
37	223	5662
38	225	5549
39	226	5434
40	227	5331
41	229	5239
42	231	5150
43	232	5058
44	234	4971
45	235	4889
46	237	4807
47	238	4724
48	239	4649
49	241	4587
50	242	4516
51	243	4448
52	245	4379
53	246	4313
54	247	4248
55	248	4190
56	249	4131
57	250	4075
58	251	4016
59	253	3964
60	253	3909
61	255	3861
62	256	3812
63	257	3765
64	258	3720
65	259	3675
66	260	3633
67	262	3593
68	263	3549
69	264	3508
70	265	3469
71	266	3430
72	267	3393
73	268	3357
74	269	3320
75	270	3285
76	270	3248
77	271	3211
78	272	3180
79	273	3147
80	274	3114
81	275	3087
82	276	3052
83	277	3022
84	278	2994
85	279	2965
86	279	2936
87	280	2909
88	281	2884
89	282	2857
90	283	2832
91	284	2810
92	285	2785
93	286	2759
94	286	2733
95	287	2708
96	288	2684
97	289	2668
98	291	2648
99	291	2627
100	292	2605
101	293	2584
102	294	2564
103	295	2541
104	295	2521
105	296	2503
106	297	2485
107	298	2464
108	299	2444
109	299	2425
110	300	2405
111	300	2385
112	301	2366
113	302	2348
114	302	2331
115	303	2314
116	304	2298
117	305	2280
118	306	2265
119	307	2252
120	308	2238
121	308	2223
122	309	2207
123	310	2191
124	310	2176
125	311	2162
126	312	2147
127	312	2132
128	313	2117
129	314	2103
130	315	2089
131	315	2075
132	316	2061
133	316	2048
134	317	2035
135	319	2031
136	320	2021
137	321	2009
138	322	1997
139	323	1985
140	324	1974
141	324	1963
142	326	1954
143	327	1944
144	327	1933
145	328	1922
146	329	1912
147	330	1903
148	331	1893
149	332	1881
150	332	1872
151	333	1861
152	334	1850
153	334	1839
154	335	1829
155	336	1819
156	336	1808
157	337	1798
158	338	1788
159	338	1777
160	339	1767
161	340	1758
162	340	1750
163	341	1741
164	342	1732
165	342	1723
166	343	1713
167	344	1704
168	344	1694
169	345	1686
170	345	1677
171	346	1669
172	347	1661
173	348	1654
174	349	1647
175	350	1639
176	351	1632
177	351	1624
178	352	1617
179	353	1609
180	354	1602
181	355	1597
182	356	1591
183	357	1584
184	358	1577
185	358	1570
186	359	1564
187	360	1557
188	361	1552
189	362	1547
190	363	1540
191	364	1535
192	365	1529
193	366	1522
194	367	1515
195	367	1509
196	368	1502
197	369	1497
198	370	1491
199	371	1485
200	371	1478
201	372	1471
202	373	1465
203	374	1460
204	374	1453
205	375	1446
206	376	1441
207	377	1435
208	377	1430
209	378	1424
210	379	1417
211	379	1411
212	380	1405
213	381	1399
214	381	1393
215	382	1388
216	383	1382
217	383	1377
218	384	1371
219	385	1366
220	385	1360
221	386	1355
222	387	1350
223	388	1344
224	388	1338
225	389	1333
226	390	1328
227	391	1324
228	391	1319
229	392	1313
230	393	1308
231	393	1303
232	394	1298
233	394	1292
234	395	1287
235	396	1282
236	397	1278
237	397	1273
238	398	1269
239	399	1265
240	400	1260
241	400	1255
242	401	1251
243	402	1247
244	403	1242
245	403	1237
246	404	1233
247	405	1229
248	406	1224
249	406	1220
250	407	1215
251	408	1212
252	409	1207
253	409	1202
254	410	1198
255	410	1194
256	411	1189
257	412	1185
258	413	1181
259	413	1178
260	414	1174
261	415	1170
262	416	1165
263	416	1161
264	417	1157
265	417	1153
266	418	1149
267	419	1145
268	420	1141
269	420	1137
270	421	1134
271	422	1130
272	423	1126
273	423	1122
274	424	1118
275	425	1115
276	425	1110
277	426	1107
278	427	1104
279	427	1100
280	428	1097
281	429	1093
282	430	1090
283	431	1086
284	431	1082
285	432	1079
286	433	1076
287	433	1072
288	434	1069
289	435	1066
290	436	1062
291	436	1058
292	437	1055
293	438	1051
294	438	1048
295	439	1045
296	440	1042
297	441	1038
298	441	1035
299	442	1032
300	443	1029
301	444	1026
302	444	1023
303	445	1019
304	446	1016
305	446	1013
306	447	1009
307	447	1006
308	448	1003
309	449	1000
310	450	997
311	450	994
312	451	991
313	452	987
314	452	984
315	453	981
316	454	978
317	454	975
318	455	971
319	455	968
320	456	965
321	457	962
322	458	960
323	458	956
324	459	953
325	460	951
326	460	948
327	461	945
328	462	942
329	462	939
330	463	936
331	464	933
332	464	930
333	465	927
334	466	925
335	466	922
336	467	919
337	467	916
338	468	913
