iter	Passed	Remaining
0	0	867
1	1	810
2	2	759
3	2	737
4	3	759
5	5	861
6	6	856
7	6	856
8	7	853
9	8	850
10	9	844
11	9	821
12	10	806
13	11	826
14	13	862
15	13	855
16	14	850
17	15	848
18	16	841
19	16	831
20	17	827
21	18	831
22	19	846
23	20	849
24	21	847
25	22	841
26	23	840
27	24	838
28	24	834
29	25	829
30	26	838
31	27	840
32	28	836
33	29	833
34	30	831
35	30	827
36	31	821
37	32	817
38	33	815
39	34	821
40	35	829
41	36	823
42	37	833
43	38	831
44	38	826
45	39	822
46	40	817
47	40	813
48	42	817
49	43	832
50	44	828
51	45	826
52	46	823
53	46	819
54	47	816
55	48	814
56	49	815
57	50	814
58	50	810
59	51	808
60	52	806
61	52	801
62	53	797
63	54	796
64	55	793
65	55	789
66	56	792
67	57	791
68	58	788
69	58	783
70	59	778
71	60	773
72	60	769
73	61	768
74	62	770
75	63	768
76	64	768
77	65	769
78	65	766
79	66	763
80	67	761
81	67	758
82	68	752
83	68	750
84	69	748
85	70	745
86	70	743
87	72	746
88	72	743
89	73	740
90	73	737
91	74	736
92	76	748
93	77	746
94	78	745
95	79	745
96	80	747
97	80	745
98	81	743
99	82	743
100	83	741
101	83	738
102	84	736
103	85	732
104	85	731
105	86	728
106	87	729
107	88	734
108	90	736
109	91	739
110	92	737
111	92	736
112	108	848
113	109	849
114	110	850
115	111	850
116	112	846
117	115	864
118	116	863
119	119	877
120	120	876
121	121	873
122	122	870
123	122	866
124	123	862
125	123	859
126	125	862
127	126	862
128	127	859
129	127	856
130	128	852
131	129	848
132	129	844
133	130	841
134	130	838
135	131	838
136	133	839
137	134	837
138	134	833
139	136	836
140	136	833
141	137	828
142	137	826
143	138	824
144	139	822
145	140	822
146	141	819
147	141	816
148	142	813
149	142	809
150	143	808
151	144	806
152	145	804
153	145	801
154	147	801
155	148	802
156	149	800
157	149	799
158	150	797
159	151	795
160	151	791
161	152	788
162	153	785
163	153	783
164	154	782
165	155	781
166	156	780
167	157	778
168	157	775
169	158	773
170	158	770
171	159	767
172	160	765
173	160	763
174	162	766
175	163	766
176	164	764
177	165	762
178	165	760
179	166	757
180	166	755
181	167	753
182	168	751
183	169	751
184	170	751
185	171	750
186	172	748
187	172	746
188	173	744
189	174	742
190	175	741
191	175	739
192	177	740
193	177	739
194	178	737
195	179	735
196	180	733
197	180	732
198	181	730
199	182	728
200	182	726
201	183	724
202	184	724
203	185	723
204	186	721
205	186	720
206	187	718
207	188	715
208	188	714
209	189	712
210	189	709
211	190	709
212	191	709
213	192	708
214	193	707
215	194	705
216	195	703
217	195	701
218	196	700
219	197	698
220	197	696
221	198	697
222	199	696
223	200	694
224	201	692
225	201	690
226	202	689
227	203	687
228	203	686
229	204	685
230	205	683
231	206	683
232	207	683
233	208	682
234	209	680
235	209	678
236	210	677
237	210	675
238	211	673
239	212	671
240	212	669
241	213	669
242	214	668
243	215	667
244	216	665
245	216	664
246	217	663
247	218	661
248	218	659
249	219	657
250	219	656
251	220	655
252	222	655
253	222	654
254	223	652
255	223	650
256	224	648
257	225	647
258	225	645
259	226	644
260	226	642
261	227	640
262	227	638
263	229	638
264	229	637
265	230	636
266	231	634
267	231	633
268	232	632
269	233	630
270	233	629
271	234	627
272	235	626
273	236	626
274	237	625
275	237	624
276	238	623
277	239	621
278	239	619
279	240	617
280	240	616
281	241	614
282	242	613
283	242	611
284	243	610
285	244	610
286	245	609
287	245	607
288	246	606
289	246	604
290	247	603
291	248	601
292	248	600
293	249	598
294	250	597
295	250	596
296	251	595
297	252	594
298	253	593
299	253	591
300	254	590
301	254	589
302	255	587
303	256	586
304	256	584
305	257	583
306	258	582
307	259	582
308	260	581
309	260	580
310	261	578
311	261	577
312	262	576
313	263	575
314	263	573
315	264	572
316	264	570
317	265	569
318	266	568
319	267	568
320	268	567
321	268	565
322	269	564
323	269	563
324	270	562
325	271	560
326	271	559
327	272	558
328	273	557
329	274	556
330	275	555
331	275	554
332	276	553
333	276	552
334	277	551
335	278	550
336	279	549
337	279	547
338	280	546
339	280	544
340	281	544
341	282	543
342	283	542
343	283	541
344	284	540
345	285	539
346	285	538
347	286	536
348	287	535
349	287	534
350	288	533
351	289	532
352	290	532
353	290	530
354	291	529
355	292	528
356	293	527
357	293	526
358	294	525
359	294	524
360	295	523
361	297	523
362	297	522
363	298	521
364	299	520
365	299	519
366	300	518
367	301	517
368	301	516
369	302	515
370	303	514
371	304	513
372	305	513
373	305	512
374	306	510
375	307	509
376	307	508
377	308	507
378	309	506
379	309	505
380	310	504
381	311	503
382	312	502
383	312	501
384	313	500
385	314	499
386	314	498
387	315	497
388	316	497
389	317	496
390	318	496
391	319	495
392	320	494
393	321	493
394	321	492
395	322	491
396	323	490
397	323	490
398	324	488
399	325	487
400	326	487
401	326	486
402	327	485
403	328	484
404	328	483
405	329	482
406	330	481
407	331	480
408	331	479
409	332	478
410	332	477
